,thinkback,gap,n_layers,n_neurons,n_epochs,opti,mse,mae,r2
0,8,8,3,"[10, 7, 3]",20,adam,0.4424690277558962,0.23095939792487974,0.9506643723222816
1,8,8,5,"[15, 12, 9, 6, 3]",20,adam,0.45694177003685454,0.23369475091456166,0.949050650728546
2,8,8,7,"[18, 15, 12, 12, 9, 6, 3]",20,adam,0.43525547012262755,0.2452849811795867,0.951468689396025
3,16,16,3,"[10, 7, 3]",20,adam,0.4476352704593323,0.2302569317198171,0.9500883323951435
4,16,16,5,"[15, 12, 9, 6, 3]",20,adam,0.44444875114917154,0.23792428154866774,0.950443631682579
5,16,16,7,"[18, 15, 12, 12, 9, 6, 3]",20,adam,0.4647684692325348,0.2506770726306971,0.9481779679118029
6,24,24,3,"[10, 7, 3]",20,adam,0.4641996927812292,0.25658832802249615,0.9482413869117176
7,24,24,5,"[15, 12, 9, 6, 3]",20,adam,0.45902219085748414,0.23540647730790762,0.948818682250345
8,24,24,7,"[18, 15, 12, 12, 9, 6, 3]",20,adam,0.4607366435985563,0.25239404699604806,0.9486275194868551
9,32,32,3,"[10, 7, 3]",20,adam,0.46361931785095367,0.23443589988932179,0.948306099150716
10,32,32,5,"[15, 12, 9, 6, 3]",20,adam,0.45587565768645116,0.2469665308793386,0.9491695230533478
11,32,32,7,"[18, 15, 12, 12, 9, 6, 3]",20,adam,0.43497418953138645,0.2375872454404722,0.9515000523924202
