,thinkback,gap,n_layers,n_neurons,n_epochs,opti,mse,mae,r2
0,8,8,3,"[10, 7, 3]",20,adam,0.0005450898080965763,0.008713898516066283,0.9598721947679842
1,8,8,5,"[15, 12, 9, 6, 3]",20,adam,0.0005544387040386814,0.007934273205109796,0.9591839583160696
2,8,8,7,"[18, 15, 12, 12, 9, 6, 3]",20,adam,0.0005843893962072374,0.007868935295035299,0.956979082121263
3,16,16,3,"[10, 7, 3]",20,adam,0.0005711591911118024,0.007927995903009822,0.9579530484023482
4,16,16,5,"[15, 12, 9, 6, 3]",20,adam,0.0005901962980281706,0.007874958665796088,0.9565515961880999
5,16,16,7,"[18, 15, 12, 12, 9, 6, 3]",20,adam,0.0005379181578157897,0.00849062984281686,0.9604001492103255
6,24,24,3,"[10, 7, 3]",20,adam,0.0006090868704438865,0.008478052111932791,0.9577735327087065
7,24,24,5,"[15, 12, 9, 6, 3]",20,adam,0.0005974939654094207,0.008183628960017059,0.9585772397807243
8,24,24,7,"[18, 15, 12, 12, 9, 6, 3]",20,adam,0.0006428356747660613,0.00867793072743932,0.95543381262774
9,32,32,3,"[10, 7, 3]",20,adam,0.0006385704347268226,0.008296301648620016,0.9557295110375171
10,32,32,5,"[15, 12, 9, 6, 3]",20,adam,0.0006020190951218303,0.009790374347590456,0.9582635238707906
11,32,32,7,"[18, 15, 12, 12, 9, 6, 3]",20,adam,0.0005979631074531595,0.007919023935328787,0.9585447153377815
